x B1 B2 B3 B4 B5 B6 B7 B8 knots
0 0.16667 0.66667 0.16667 0 0 0 0 0 -0.6
0.001001 0.16418 0.66664 0.16918 2.0896e-08 0 0 0 0 -0.4
0.002002 0.16171 0.66657 0.17172 1.6717e-07 0 0 0 0 -0.2
0.003003 0.15927 0.66644 0.17429 5.6419e-07 0 0 0 0 0
0.004004 0.15686 0.66627 0.17687 1.3373e-06 0 0 0 0 0.2
0.005005 0.15446 0.66605 0.17948 2.612e-06 0 0 0 0 0.4
0.006006 0.1521 0.66578 0.18212 4.5135e-06 0 0 0 0 0.6
0.007007 0.14976 0.66546 0.18478 7.1673e-06 0 0 0 0 0.8
0.008008 0.14744 0.6651 0.18746 1.0699e-05 0 0 0 0 1
0.009009 0.14514 0.66468 0.19016 1.5233e-05 0 0 0 0 1.2
0.01001 0.14287 0.66422 0.19288 2.0896e-05 0 0 0 0 1.4
0.011011 0.14063 0.66372 0.19563 2.7813e-05 0 0 0 0 1.6
0.012012 0.1384 0.66317 0.19839 3.6108e-05 0 0 0 0 0
0.013013 0.1362 0.66257 0.20118 4.5908e-05 0 0 0 0 0
0.014014 0.13403 0.66193 0.20398 5.7339e-05 0 0 0 0 0
0.015015 0.13188 0.66124 0.20681 7.0524e-05 0 0 0 0 0
0.016016 0.12975 0.66051 0.20966 8.559e-05 0 0 0 0 0
0.017017 0.12764 0.65974 0.21252 0.00010266 0 0 0 0 0
0.018018 0.12556 0.65892 0.2154 0.00012187 0 0 0 0 0
0.019019 0.1235 0.65805 0.21831 0.00014333 0 0 0 0 0
0.02002 0.12146 0.65715 0.22123 0.00016717 0 0 0 0 0
0.021021 0.11944 0.6562 0.22416 0.00019352 0 0 0 0 0
0.022022 0.11745 0.65521 0.22712 0.0002225 0 0 0 0 0
0.023023 0.11548 0.65418 0.23009 0.00025424 0 0 0 0 0
0.024024 0.11353 0.6531 0.23307 0.00028887 0 0 0 0 0
0.025025 0.11161 0.65199 0.23608 0.0003265 0 0 0 0 0
0.026026 0.1097 0.65083 0.2391 0.00036727 0 0 0 0 0
0.027027 0.10782 0.64964 0.24213 0.0004113 0 0 0 0 0
0.028028 0.10596 0.6484 0.24518 0.00045871 0 0 0 0 0
0.029029 0.10412 0.64713 0.24824 0.00050963 0 0 0 0 0
0.03003 0.1023 0.64581 0.25132 0.00056419 0 0 0 0 0
0.031031 0.1005 0.64446 0.25441 0.00062251 0 0 0 0 0
0.032032 0.098728 0.64307 0.25752 0.00068472 0 0 0 0 0
0.033033 0.096973 0.64164 0.26064 0.00075094 0 0 0 0 0
0.034034 0.095239 0.64017 0.26377 0.00082129 0 0 0 0 0
0.035035 0.093526 0.63867 0.26691 0.00089591 0 0 0 0 0
0.036036 0.091834 0.63713 0.27006 0.00097492 0 0 0 0 0
0.037037 0.090162 0.63555 0.27323 0.0010584 0 0 0 0 0
0.038038 0.088511 0.63393 0.27641 0.0011466 0 0 0 0 0
0.039039 0.08688 0.63228 0.2796 0.0012395 0 0 0 0 0
0.04004 0.085269 0.6306 0.28279 0.0013373 0 0 0 0 0
0.041041 0.083678 0.62888 0.286 0.0014402 0 0 0 0 0
0.042042 0.082108 0.62712 0.28922 0.0015481 0 0 0 0 0
0.043043 0.080556 0.62533 0.29245 0.0016614 0 0 0 0 0
0.044044 0.079025 0.62351 0.29569 0.00178 0 0 0 0 0
0.045045 0.077513 0.62165 0.29893 0.0019041 0 0 0 0 0
0.046046 0.076021 0.61976 0.30218 0.0020339 0 0 0 0 0
0.047047 0.074547 0.61784 0.30544 0.0021695 0 0 0 0 0
0.048048 0.073093 0.61588 0.30871 0.0023109 0 0 0 0 0
0.049049 0.071658 0.6139 0.31199 0.0024584 0 0 0 0 0
0.05005 0.070242 0.61188 0.31527 0.002612 0 0 0 0 0
0.051051 0.068845 0.60983 0.31856 0.0027719 0 0 0 0 0
0.052052 0.067466 0.60775 0.32185 0.0029381 0 0 0 0 0
0.053053 0.066106 0.60563 0.32515 0.0031109 0 0 0 0 0
0.054054 0.064764 0.60349 0.32845 0.0032904 0 0 0 0 0
0.055055 0.063441 0.60132 0.33176 0.0034766 0 0 0 0 0
0.056056 0.062135 0.59912 0.33508 0.0036697 0 0 0 0 0
0.057057 0.060848 0.59689 0.33839 0.0038698 0 0 0 0 0
0.058058 0.059579 0.59463 0.34171 0.0040771 0 0 0 0 0
0.059059 0.058327 0.59234 0.34504 0.0042916 0 0 0 0 0
0.06006 0.057093 0.59003 0.34837 0.0045135 0 0 0 0 0
0.061061 0.055877 0.58768 0.3517 0.004743 0 0 0 0 0
0.062062 0.054678 0.58531 0.35503 0.0049801 0 0 0 0 0
0.063063 0.053496 0.58292 0.35836 0.005225 0 0 0 0 0
0.064064 0.052331 0.58049 0.3617 0.0054778 0 0 0 0 0
0.065065 0.051184 0.57805 0.36503 0.0057386 0 0 0 0 0
0.066066 0.050053 0.57557 0.36837 0.0060075 0 0 0 0 0
0.067067 0.048939 0.57307 0.37171 0.0062847 0 0 0 0 0
0.068068 0.047842 0.57055 0.37504 0.0065704 0 0 0 0 0
0.069069 0.046761 0.568 0.37838 0.0068645 0 0 0 0 0
0.07007 0.045697 0.56542 0.38171 0.0071673 0 0 0 0 0
0.071071 0.044649 0.56283 0.38505 0.0074789 0 0 0 0 0
0.072072 0.043617 0.56021 0.38838 0.0077994 0 0 0 0 0
0.073073 0.042601 0.55756 0.39171 0.0081289 0 0 0 0 0
0.074074 0.041601 0.5549 0.39504 0.0084675 0 0 0 0 0
0.075075 0.040617 0.55221 0.39836 0.0088155 0 0 0 0 0
