x B1 B2 B3 B4 B5 B6 B7 B8 knots
0 0.01707 0.47021 0.51272 0 0 0 0 0 -0.6
0.001001 0.016883 0.46918 0.51394 2.8509e-09 0 0 0 0 -0.4
0.002002 0.016696 0.46815 0.51516 2.291e-08 0 0 0 0 -0.2
0.003003 0.01651 0.46711 0.51638 7.7671e-08 0 0 0 0 0
0.004004 0.016325 0.46607 0.51761 1.8494e-07 0 0 0 0 0.042846
0.005005 0.01614 0.46502 0.51884 3.6285e-07 0 0 0 0 0.12125
0.006006 0.015957 0.46396 0.52008 6.2984e-07 0 0 0 0 0.2642
0.007007 0.015774 0.46289 0.52133 1.0047e-06 0 0 0 0 0.52482
0.008008 0.015593 0.46182 0.52258 1.5065e-06 0 0 0 0 1
0.009009 0.015412 0.46075 0.52384 2.1547e-06 0 0 0 0 1.2
0.01001 0.015232 0.45967 0.5251 2.9692e-06 0 0 0 0 1.4
0.011011 0.015052 0.45858 0.52637 3.9699e-06 0 0 0 0 1.6
0.012012 0.014874 0.45748 0.52764 5.1774e-06 0 0 0 0 0
0.013013 0.014697 0.45638 0.52892 6.6125e-06 0 0 0 0 0
0.014014 0.01452 0.45527 0.5302 8.2964e-06 0 0 0 0 0
0.015015 0.014344 0.45415 0.53149 1.0251e-05 0 0 0 0 0
0.016016 0.01417 0.45303 0.53279 1.2497e-05 0 0 0 0 0
0.017017 0.013996 0.4519 0.53409 1.5058e-05 0 0 0 0 0
0.018018 0.013823 0.45077 0.53539 1.7956e-05 0 0 0 0 0
0.019019 0.013651 0.44963 0.5367 2.1214e-05 0 0 0 0 0
0.02002 0.01348 0.44848 0.53802 2.4856e-05 0 0 0 0 0
0.021021 0.01331 0.44732 0.53934 2.8905e-05 0 0 0 0 0
0.022022 0.013141 0.44616 0.54066 3.3386e-05 0 0 0 0 0
0.023023 0.012972 0.44499 0.54199 3.8323e-05 0 0 0 0 0
0.024024 0.012805 0.44382 0.54333 4.3741e-05 0 0 0 0 0
0.025025 0.012639 0.44264 0.54467 4.9666e-05 0 0 0 0 0
0.026026 0.012473 0.44145 0.54602 5.6123e-05 0 0 0 0 0
0.027027 0.012309 0.44026 0.54737 6.3138e-05 0 0 0 0 0
0.028028 0.012145 0.43906 0.54873 7.0739e-05 0 0 0 0 0
0.029029 0.011983 0.43785 0.55009 7.8952e-05 0 0 0 0 0
0.03003 0.011821 0.43664 0.55146 8.7804e-05 0 0 0 0 0
0.031031 0.01166 0.43542 0.55283 9.7325e-05 0 0 0 0 0
0.032032 0.011501 0.43419 0.5542 0.00010754 0 0 0 0 0
0.033033 0.011342 0.43295 0.55558 0.00011848 0 0 0 0 0
0.034034 0.011185 0.43171 0.55697 0.00013018 0 0 0 0 0
0.035035 0.011028 0.43047 0.55836 0.00014266 0 0 0 0 0
0.036036 0.010872 0.42921 0.55976 0.00015595 0 0 0 0 0
0.037037 0.010718 0.42795 0.56116 0.00017009 0 0 0 0 0
0.038038 0.010564 0.42669 0.56256 0.00018511 0 0 0 0 0
0.039039 0.010412 0.42541 0.56397 0.00020103 0 0 0 0 0
0.04004 0.01026 0.42413 0.56539 0.00021789 0 0 0 0 0
0.041041 0.01011 0.42285 0.56681 0.00023572 0 0 0 0 0
0.042042 0.0099601 0.42155 0.56823 0.00025456 0 0 0 0 0
0.043043 0.0098116 0.42025 0.56966 0.00027444 0 0 0 0 0
0.044044 0.0096642 0.41895 0.57109 0.0002954 0 0 0 0 0
0.045045 0.0095179 0.41763 0.57253 0.00031746 0 0 0 0 0
0.046046 0.0093726 0.41631 0.57397 0.00034066 0 0 0 0 0
0.047047 0.0092283 0.41499 0.57542 0.00036504 0 0 0 0 0
0.048048 0.0090851 0.41365 0.57687 0.00039064 0 0 0 0 0
0.049049 0.008943 0.41231 0.57833 0.00041749 0 0 0 0 0
0.05005 0.0088019 0.41097 0.57978 0.00044563 0 0 0 0 0
0.051051 0.008662 0.40962 0.58125 0.00047509 0 0 0 0 0
0.052052 0.0085231 0.40826 0.58272 0.00050592 0 0 0 0 0
0.053053 0.0083852 0.40689 0.58419 0.00053816 0 0 0 0 0
0.054054 0.0082485 0.40552 0.58566 0.00057183 0 0 0 0 0
0.055055 0.0081129 0.40414 0.58714 0.000607 0 0 0 0 0
0.056056 0.0079783 0.40275 0.58863 0.00064369 0 0 0 0 0
0.057057 0.0078449 0.40136 0.59011 0.00068194 0 0 0 0 0
0.058058 0.0077125 0.39996 0.5916 0.0007218 0 0 0 0 0
0.059059 0.0075813 0.39856 0.5931 0.00076331 0 0 0 0 0
0.06006 0.0074511 0.39714 0.5946 0.00080652 0 0 0 0 0
0.061061 0.0073221 0.39573 0.5961 0.00085146 0 0 0 0 0
0.062062 0.0071942 0.3943 0.59761 0.00089819 0 0 0 0 0
0.063063 0.0070674 0.39287 0.59912 0.00094674 0 0 0 0 0
0.064064 0.0069417 0.39143 0.60063 0.00099717 0 0 0 0 0
0.065065 0.0068172 0.38999 0.60214 0.0010495 0 0 0 0 0
0.066066 0.0066938 0.38854 0.60366 0.0011038 0 0 0 0 0
0.067067 0.0065715 0.38708 0.60519 0.0011602 0 0 0 0 0
0.068068 0.0064504 0.38562 0.60671 0.0012185 0 0 0 0 0
0.069069 0.0063304 0.38415 0.60824 0.001279 0 0 0 0 0
0.07007 0.0062116 0.38267 0.60977 0.0013417 0 0 0 0 0
0.071071 0.0060939 0.38119 0.61131 0.0014066 0 0 0 0 0
0.072072 0.0059773 0.3797 0.61285 0.0014737 0 0 0 0 0
0.073073 0.0058619 0.37821 0.61439 0.0015431 0 0 0 0 0
